OverallQual,YearBuilt,GarageArea,SalePrice
7,2003,548,12.24769432
6,1976,460,12.10901093
7,2001,608,12.31716669
7,1915,642,11.8493977
8,2000,836,12.4292162
5,1993,480,11.87059991
8,2004,636,12.63460303
7,1973,484,12.20607265
7,1931,468,11.7745202
5,1939,205,11.6784399
5,1965,384,11.77143616
9,2005,736,12.7512997
5,1962,352,11.87756858
7,2006,840,12.54075757
6,1960,352,11.96400108
7,1929,576,11.7905572
6,1970,480,11.91170158
4,1967,516,11.40756495
5,2004,576,11.97665948
5,1958,294,11.84222921
8,2005,853,12.69250311
7,1930,280,11.84510278
8,2002,534,12.34583459
5,1976,572,11.7745202
5,1968,270,11.94470788
8,2007,890,12.45410391
5,1951,576,11.81154748
8,2007,772,12.63134038
5,1957,319,12.24288662
5,1966,271,11.91404782
8,2007,484,12.10015642
5,1959,447,12.01672647
9,2005,556,12.53357621
8,2004,691,12.64109656
5,1994,672,11.88448902
5,1954,498,11.9381932
5,1953,246,11.59910316
4,1955,0,11.31447453
6,1965,440,11.98292909
5,1959,308,12.04355372
5,1983,504,11.87756858
5,1975,308,11.77721096
5,1959,300,11.85651517
9,2005,576,12.67576373
7,2003,670,12.38708501
8,2006,826,12.42801548
4,1920,0,11.6351431
5,1966,386,11.75194237
6,1997,388,12.08390501
6,1934,528,11.6483301
5,1963,516,11.60823564
9,1981,894,12.86099861
5,1955,572,11.77528973
6,1964,576,12.10348606
8,1999,480,12.05815252
7,2004,565,12.18841771
5,1972,352,11.7352687
6,2004,576,11.97035031
5,1920,288,11.5228758
8,2006,484,12.21849517
7,1921,480,11.8493977
7,1997,645,12.29910751
8,2004,852,12.66665705
7,1970,576,12.10071213
7,2003,558,12.32829028
4,1945,220,11.28978191
7,1953,667,12.32385568
7,1973,516,12.4049235
4,1982,360,11.77143616
7,1998,427,12.1281111
5,1954,490,11.88379913
3,1915,379,11.58431546
4,1973,297,11.41861479
4,1956,283,11.81857024
5,1948,240,11.75194237
4,1968,0,11.82407989
5,1910,440,11.60823564
6,1968,509,12.17303279
6,1998,405,11.94145585
8,2007,758,12.40901349
5,1960,461,11.74799759
7,1995,400,12.03469103
8,1991,462,12.46843691
6,2005,400,12.06681058
6,2009,528,12.01066585
3,1915,0,11.35040654
4,1994,0,11.72480582
4,1950,420,11.60732614
5,1961,480,11.49882654
5,1921,432,12.00456827
6,1910,506,11.80484853
6,1997,684,12.229545
6,1993,420,12.1281111
7,1999,472,12.27373129
4,1965,432,11.45899712
5,1920,366,11.32659589
4,1959,0,11.76718001
6,1977,480,12.23076526
6,1985,476,12.08953883
5,1979,410,11.68657621
7,2009,740,12.20055746
7,1931,240,12.04060821
8,2003,648,12.4292162
4,1885,273,11.51292546
5,1948,250,11.65268741
5,1919,0,11.65268741
6,1977,546,12.15477935
6,1954,325,11.82700601
7,2000,400,12.10071213
7,2007,792,12.8583197
6,1953,450,12.28765263
6,1945,180,12.46651198
6,1999,440,12.07823927
5,1962,288,11.84222921
5,2006,430,11.9511804
7,1990,594,12.67607627
6,2005,390,12.00756073
6,1969,540,12.10071213
4,1939,264,11.51292546
6,1958,288,11.82041016
6,1993,530,11.94405832
6,1979,435,12.10625231
6,1935,0,11.34450681
6,1976,440,11.75978554
5,1930,0,11.3736634
6,1966,453,11.9511804
5,1958,750,11.91839057
7,1966,487,12.32829028
6,2000,390,12.4049235
5,1959,624,11.92337811
8,2001,471,12.30138283
5,1968,440,12.10071213
7,1970,530,12.06681058
5,1967,318,11.87059991
7,1988,766,12.04941884
8,1999,660,12.34583459
6,1997,470,12.35233515
4,1971,0,11.65268741
7,2005,660,12.46843691
5,1952,720,12.01974307
7,1999,577,12.22587527
5,1963,504,11.73606902
6,2004,380,11.77528973
5,1931,180,11.56171563
7,2001,434,12.31268238
7,2004,0,11.85651517
5,1936,240,11.65268741
5,1975,440,11.71177632
8,2007,866,12.82772919
6,1971,495,12.15477935
6,1960,564,12.36734079
6,1923,312,11.73606902
6,1924,0,11.27720313
5,1950,625,11.60367983
8,2009,680,12.50432367
7,2004,678,12.44862659
7,2005,576,12.67607627
6,1984,516,11.99843328
7,2005,532,12.30138283
4,1956,0,11.54442413
6,1926,216,11.9316358
5,1940,0,11.75587164
5,1955,303,12.15477935
8,2007,789,12.69349862
7,2004,440,12.11996995
8,1981,511,12.33710091
5,1941,660,11.76368418
6,1960,528,12.27839331
7,1987,504,12.38421883
6,1961,504,12.00150548
6,1986,616,12.12269104
6,1950,576,12.40081672
6,1988,521,12.25961341
5,1958,451,12.05815252
5,1923,480,11.51292546
6,2000,440,12.08390501
7,1920,216,12.20657252
5,1957,252,11.69524702
7,2003,484,12.20607265
5,1908,576,11.75194237
7,1990,497,12.06104687
5,1916,180,11.81303006
5,1979,528,11.94039339
8,2001,682,12.56374709
8,1932,440,12.66032792
7,1972,484,12.12269104
7,1999,666,12.16525065
7,2004,380,11.77528973
5,1972,352,11.75194237
6,1976,440,11.90834024
7,2007,786,12.65034813
8,1918,795,12.36734079
6,1912,0,11.55214618
8,2004,856,12.52416267
4,2003,440,11.8493977
6,1977,473,12.05233855
6,1924,398,11.62625415
6,2004,420,11.91170158
5,1947,240,11.60823564
7,1990,500,12.10348606
5,1962,349,11.87687389
4,1960,312,11.85651517
7,1988,454,12.53177279
6,1964,504,11.88448902
5,1925,0,11.49272276
6,2009,460,12.13350195
7,2009,644,12.43987123
5,1995,576,11.95761129
6,1977,299,11.99380721
5,1957,447,11.80894766
7,2004,484,12.25486281
4,1925,210,11.58058411
7,1939,431,12.64915462
7,2005,438,12.02718519
7,2006,675,12.23027733
6,2002,390,12.20607265
6,1975,434,12.10015642
4,1971,576,11.48246626
10,2003,968,12.86424011
5,1971,280,11.62625415
7,1995,721,12.5776362
6,1970,280,11.57119437
5,1967,336,11.73606902
7,2005,430,12.16785143
6,1959,312,11.90496755
6,1972,288,11.45635511
5,1976,308,11.76134682
6,2002,440,12.28534583
6,1971,264,11.4019939
7,2004,494,12.13081016
7,1993,457,12.17818744
8,2007,818,12.66980666
6,1945,220,11.6351431
8,2008,750,12.47800636
5,1945,0,11.6127708
5,1900,352,11.27720313
6,1980,288,11.69524702
7,1994,463,12.23076526
7,1988,604,12.39462475
6,1910,440,11.8277362
6,1954,451,11.8493977
7,2003,500,12.10071213
6,1958,389,12.53177279
8,2006,538,12.36734079
6,2004,520,12.06104687
6,1964,309,11.97035031
5,1957,294,11.88448902
