,MSSubClass,LotArea,LotShape,Neighborhood,NeighborhoodN,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,X1stFlrSF,X2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageArea,SalePrice
1,60,8450,Reg,CollgCr,1,2Story,7,2003,2003,196,Gd,PConc,Gd,GLQ,706,150,856,Ex,856,854,1710,1,2,1,Gd,8,0,NA,2003,RFn,548,12.24769432
2,20,9600,Reg,Veenker,2,1Story,6,1976,1976,0,TA,CBlock,Gd,ALQ,978,284,1262,Ex,1262,0,1262,0,2,0,TA,6,1,TA,1976,RFn,460,12.10901093
3,60,11250,IR1,CollgCr,1,2Story,7,2001,2002,162,Gd,PConc,Gd,GLQ,486,434,920,Ex,920,866,1786,1,2,1,Gd,6,1,TA,2001,RFn,608,12.31716669
4,70,9550,IR1,Crawfor,3,2Story,7,1915,1970,0,TA,BrkTil,TA,ALQ,216,540,756,Gd,961,756,1717,1,1,0,Gd,7,1,Gd,1998,Unf,642,11.8493977
5,60,14260,IR1,NoRidge,3,2Story,8,2000,2000,350,Gd,PConc,Gd,GLQ,655,490,1145,Ex,1145,1053,2198,1,2,1,Gd,9,1,TA,2000,RFn,836,12.4292162
6,50,14115,IR1,Mitchel,4,1.5Fin,5,1993,1995,0,TA,Wood,Gd,GLQ,732,64,796,Ex,796,566,1362,1,1,1,TA,5,0,NA,1993,Unf,480,11.87059991
7,20,10084,Reg,Somerst,5,1Story,8,2004,2005,186,Gd,PConc,Ex,GLQ,1369,317,1686,Ex,1694,0,1694,1,2,0,Gd,7,1,Gd,2004,RFn,636,12.63460303
8,60,10382,IR1,NWAmes,6,2Story,7,1973,1973,240,TA,CBlock,Gd,ALQ,859,216,1107,Ex,1107,983,2090,1,2,1,TA,7,1,TA,1973,RFn,484,12.20607265
9,50,6120,Reg,OldTown,7,1.5Fin,7,1931,1950,0,TA,BrkTil,TA,Unf,0,952,952,Gd,1022,752,1774,0,2,0,TA,8,1,TA,1931,Unf,468,11.7745202
10,190,7420,Reg,BrkSide,8,1.5Unf,5,1939,1950,0,TA,BrkTil,TA,GLQ,851,140,991,Ex,1077,0,1077,1,1,0,TA,5,1,TA,1939,RFn,205,11.6784399
11,20,11200,Reg,Sawyer,9,1Story,5,1965,1965,0,TA,CBlock,TA,Rec,906,134,1040,Ex,1040,0,1040,1,1,0,TA,5,0,NA,1965,Unf,384,11.77143616
12,60,11924,IR1,NridgHt,10,2Story,9,2005,2006,286,Ex,PConc,Ex,GLQ,998,177,1175,Ex,1182,1142,2324,1,3,0,Ex,11,1,Gd,2005,Fin,736,12.7512997
13,20,12968,IR2,Sawyer,9,1Story,5,1962,1962,0,TA,CBlock,TA,ALQ,737,175,912,TA,912,0,912,1,1,0,TA,4,0,NA,1962,Unf,352,11.87756858
14,20,10652,IR1,CollgCr,1,1Story,7,2006,2007,306,Gd,PConc,Gd,Unf,0,1494,1494,Ex,1494,0,1494,0,2,0,Gd,7,1,Gd,2006,RFn,840,12.54075757
15,20,10920,IR1,NAmes,11,1Story,6,1960,1960,212,TA,CBlock,TA,BLQ,733,520,1253,TA,1253,0,1253,1,1,1,TA,5,1,Fa,1960,RFn,352,11.96400108
16,45,6120,Reg,BrkSide,8,1.5Unf,7,1929,2001,0,TA,BrkTil,TA,Unf,0,832,832,Ex,854,0,854,0,1,0,TA,5,0,NA,1991,Unf,576,11.7905572
17,20,11241,IR1,NAmes,11,1Story,6,1970,1970,180,TA,CBlock,TA,ALQ,578,426,1004,Ex,1004,0,1004,1,1,0,TA,5,1,TA,1970,Fin,480,11.91170158
18,90,10791,Reg,Sawyer,9,1Story,4,1967,1967,0,TA,Slab,NA,NA,0,0,0,TA,1296,0,1296,0,2,0,TA,6,0,NA,1967,Unf,516,11.40756495
19,20,13695,Reg,SawyerW,16,1Story,5,2004,2004,0,TA,PConc,TA,GLQ,646,468,1114,Ex,1114,0,1114,1,1,1,Gd,6,0,NA,2004,Unf,576,11.97665948
20,20,7560,Reg,NAmes,11,1Story,5,1958,1965,0,TA,CBlock,TA,LwQ,504,525,1029,TA,1339,0,1339,0,1,0,TA,6,0,NA,1958,Unf,294,11.84222921
21,60,14215,IR1,NridgHt,10,2Story,8,2005,2006,380,Gd,PConc,Ex,Unf,0,1158,1158,Ex,1158,1218,2376,0,3,1,Gd,9,1,Gd,2005,RFn,853,12.69250311
22,45,7449,Reg,IDOTRR,13,1.5Unf,7,1930,1950,0,TA,PConc,TA,Unf,0,637,637,Ex,1108,0,1108,0,1,0,Gd,6,1,Gd,1930,Unf,280,11.84510278
23,20,9742,Reg,CollgCr,1,1Story,8,2002,2002,281,Gd,PConc,Gd,Unf,0,1777,1777,Ex,1795,0,1795,0,2,0,Gd,7,1,Gd,2002,RFn,534,12.34583459
24,120,4224,Reg,MeadowV,14,1Story,5,1976,1976,0,TA,PConc,Gd,GLQ,840,200,1040,TA,1060,0,1060,1,1,0,TA,6,1,TA,1976,Unf,572,11.7745202
25,20,8246,IR1,Sawyer,9,1Story,5,1968,2001,0,TA,CBlock,TA,Rec,188,204,1060,Ex,1060,0,1060,1,1,0,Gd,6,1,TA,1968,Unf,270,11.94470788
26,20,14230,Reg,NridgHt,10,1Story,8,2007,2007,640,Gd,PConc,Gd,Unf,0,1566,1566,Ex,1600,0,1600,0,2,0,Gd,7,1,Gd,2007,RFn,890,12.45410391
27,20,7200,Reg,NAmes,11,1Story,5,1951,2000,0,TA,CBlock,TA,BLQ,234,180,900,TA,900,0,900,0,1,0,Gd,5,0,NA,2005,Unf,576,11.81154748
28,20,11478,Reg,NridgHt,10,1Story,8,2007,2008,200,Gd,PConc,Ex,GLQ,1218,486,1704,Ex,1704,0,1704,1,2,0,Gd,7,1,Gd,2008,RFn,772,12.63134038
29,20,16321,IR1,NAmes,11,1Story,5,1957,1997,0,TA,CBlock,TA,BLQ,1277,207,1484,TA,1600,0,1600,1,1,0,TA,6,1,Gd,1957,RFn,319,12.24288662
32,20,8544,IR1,Sawyer,9,1Story,5,1966,2006,0,TA,CBlock,TA,Unf,0,1228,1228,Gd,1228,0,1228,0,1,1,Gd,6,0,NA,1966,Unf,271,11.91404782
33,20,11049,Reg,CollgCr,1,1Story,8,2007,2007,0,Gd,PConc,Ex,Unf,0,1234,1234,Ex,1234,0,1234,0,2,0,Gd,7,0,NA,2007,RFn,484,12.10015642
34,20,10552,IR1,NAmes,11,1Story,5,1959,1959,0,TA,CBlock,TA,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,Gd,6,1,Gd,1959,RFn,447,12.01672647
35,120,7313,Reg,NridgHt,10,1Story,9,2005,2005,246,Ex,PConc,Ex,GLQ,1153,408,1561,Ex,1561,0,1561,1,2,0,Ex,6,1,Gd,2005,Fin,556,12.53357621
36,60,13418,Reg,NridgHt,10,2Story,8,2004,2005,132,Gd,PConc,Ex,Unf,0,1117,1117,Ex,1132,1320,2452,0,3,1,Gd,9,1,Gd,2004,Fin,691,12.64109656
37,20,10859,Reg,CollgCr,1,1Story,5,1994,1995,0,TA,PConc,Gd,Unf,0,1097,1097,Ex,1097,0,1097,0,1,1,TA,6,0,NA,1995,Unf,672,11.88448902
38,20,8532,Reg,NAmes,11,1Story,5,1954,1990,650,TA,CBlock,TA,Rec,1213,84,1297,Gd,1297,0,1297,0,1,0,TA,5,1,TA,1954,Fin,498,11.9381932
39,20,7922,Reg,NAmes,11,1Story,5,1953,2007,0,TA,CBlock,TA,GLQ,731,326,1057,TA,1057,0,1057,1,1,0,Gd,5,0,NA,1953,Unf,246,11.59910316
40,90,6040,Reg,Edwards,18,1Story,4,1955,1955,0,TA,PConc,NA,NA,0,0,0,TA,1152,0,1152,0,2,0,Fa,6,0,NA,NA,NA,0,11.31447453
41,20,8658,Reg,NAmes,11,1Story,6,1965,1965,101,TA,CBlock,TA,Rec,643,445,1088,Ex,1324,0,1324,0,2,0,TA,6,1,TA,1965,RFn,440,11.98292909
42,20,16905,Reg,Timber,17,1Story,5,1959,1959,0,TA,CBlock,TA,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,TA,5,1,Gd,1959,RFn,308,12.04355372
43,85,9180,IR1,SawyerW,16,SFoyer,5,1983,1983,0,TA,CBlock,Gd,ALQ,747,0,840,Gd,884,0,884,1,1,0,Gd,5,0,NA,1983,RFn,504,11.87756858
44,20,9200,IR1,CollgCr,1,1Story,5,1975,1980,0,TA,CBlock,Gd,LwQ,280,167,938,TA,938,0,938,1,1,0,TA,5,0,NA,1977,Unf,308,11.77721096
45,20,7945,Reg,NAmes,11,1Story,5,1959,1959,0,TA,CBlock,TA,ALQ,179,465,1150,Ex,1150,0,1150,1,1,0,TA,6,0,NA,1959,RFn,300,11.85651517
46,120,7658,Reg,NridgHt,10,1Story,9,2005,2005,412,Ex,PConc,Ex,GLQ,456,1296,1752,Ex,1752,0,1752,1,2,0,Ex,6,1,Gd,2005,RFn,576,12.67576373
47,50,12822,IR1,Mitchel,4,1.5Fin,7,2003,2003,0,Gd,PConc,Ex,GLQ,1351,83,1434,Ex,1518,631,2149,1,1,1,Gd,6,1,Ex,2003,RFn,670,12.38708501
48,20,11096,Reg,Somerst,5,1Story,8,2006,2006,0,Gd,PConc,Gd,GLQ,24,1632,1656,Ex,1656,0,1656,0,2,0,Gd,7,0,NA,2006,RFn,826,12.42801548
49,190,4456,Reg,OldTown,7,2Story,4,1920,2008,0,TA,BrkTil,TA,Unf,0,736,736,Gd,736,716,1452,0,2,0,TA,8,0,NA,NA,NA,0,11.6351431
50,20,7742,Reg,Sawyer,9,1Story,5,1966,1966,0,TA,CBlock,TA,BLQ,763,192,955,Ex,955,0,955,1,1,0,TA,6,0,NA,1966,Unf,386,11.75194237
51,60,13869,IR2,Gilbert,19,2Story,6,1997,1997,0,TA,PConc,Gd,GLQ,182,612,794,Gd,794,676,1470,0,2,0,TA,6,0,NA,1997,Fin,388,12.08390501
52,50,6240,Reg,BrkSide,8,1.5Fin,6,1934,1950,0,TA,PConc,TA,Unf,0,816,816,TA,816,0,1176,0,1,0,TA,6,1,Gd,1985,Unf,528,11.6483301
53,90,8472,IR2,IDOTRR,13,1Story,5,1963,1963,0,Fa,CBlock,Gd,LwQ,104,0,816,TA,816,0,816,1,1,0,TA,5,0,NA,1963,Unf,516,11.60823564
54,20,50271,IR1,Veenker,2,1Story,9,1981,1987,0,Gd,CBlock,Ex,GLQ,1810,32,1842,Gd,1842,0,1842,2,0,1,Gd,5,1,Gd,1981,Fin,894,12.86099861
55,80,7134,Reg,NAmes,11,SLvl,5,1955,1955,0,TA,CBlock,TA,ALQ,384,0,384,TA,1360,0,1360,0,1,0,TA,6,1,TA,1962,Unf,572,11.77528973
56,20,10175,IR1,NAmes,11,1Story,6,1964,1964,272,TA,CBlock,TA,BLQ,490,935,1425,Gd,1425,0,1425,0,2,0,TA,7,1,Gd,1964,RFn,576,12.10348606
57,160,2645,Reg,Somerst,5,2Story,8,1999,2000,456,Gd,PConc,Gd,GLQ,649,321,970,Ex,983,756,1739,1,2,1,Gd,7,0,NA,1999,Fin,480,12.05815252
58,60,11645,IR1,CollgCr,1,2Story,7,2004,2004,0,Gd,PConc,Gd,Unf,0,860,860,Ex,860,860,1720,0,2,1,Gd,7,0,NA,2004,RFn,565,12.18841771
60,20,7200,Reg,CollgCr,1,1Story,5,1972,1972,0,TA,CBlock,TA,ALQ,632,148,780,Ex,780,0,780,0,1,0,TA,4,0,NA,1973,Unf,352,11.7352687
61,20,13072,Reg,SawyerW,16,1Story,6,2004,2004,0,TA,PConc,Gd,ALQ,941,217,1158,Ex,1158,0,1158,1,1,1,Gd,5,0,NA,2006,Unf,576,11.97035031
62,75,7200,Reg,IDOTRR,13,2.5Unf,5,1920,1996,0,TA,BrkTil,TA,Unf,0,530,530,TA,581,530,1111,0,1,0,Fa,6,0,NA,1935,Unf,288,11.5228758
63,120,6442,IR1,NridgHt,10,1Story,8,2006,2006,178,Gd,PConc,Gd,GLQ,24,1346,1370,Ex,1370,0,1370,0,2,0,Gd,6,1,Gd,2006,RFn,484,12.21849517
64,70,10300,IR1,OldTown,7,2Story,7,1921,1950,0,TA,BrkTil,TA,Unf,0,576,576,Gd,902,808,1710,0,2,0,TA,9,0,NA,1990,Unf,480,11.8493977
65,60,9375,Reg,CollgCr,1,2Story,7,1997,1998,573,TA,PConc,Gd,GLQ,739,318,1057,Ex,1057,977,2034,1,2,1,Gd,8,0,NA,1998,RFn,645,12.29910751
66,60,9591,Reg,NridgHt,10,2Story,8,2004,2005,344,Gd,PConc,Ex,Unf,0,1143,1143,Ex,1143,1330,2473,0,2,1,Gd,9,1,Gd,2004,RFn,852,12.66665705
67,20,19900,Reg,NAmes,11,1Story,7,1970,1989,287,TA,CBlock,Gd,GLQ,912,1035,1947,TA,2207,0,2207,1,2,0,TA,7,1,Gd,1970,RFn,576,12.10071213
